name,W,L,G,GS,CG,SV,H,R,ER,HR,BB,K,HLD,IP,ERA,WHIP,BAA,BS
Evan Phillips,0,0,6,0,0,1,2,0,0,0,2,6,2,4.2,0,0.86,0.133,0
Yoshinobu Yamamoto,4,2,7,7,0,0,24,7,4,2,13,49,0,40,0.9,0.93,0.171,0
Tanner Scott,0,0,16,0,0,8,14,4,4,2,0,15,3,16,2.25,0.88,0.25,2
Ben Casparius,3,0,11,1,0,0,17,7,7,1,3,23,3,21.2,2.91,0.92,0.21,0
Kirby Yates,3,1,17,0,0,0,11,6,5,2,5,25,7,14.2,3.07,1.09,0.204,1
Alex Vesia,0,0,16,0,0,1,11,5,5,3,6,23,9,14.2,3.07,1.16,0.216,0
Roki Sasaki,0,1,6,6,0,0,18,10,10,3,18,20,0,25.1,3.55,1.42,0.198,0
Jack Dreyer,2,1,13,1,0,0,9,7,7,0,10,21,2,17.1,3.63,1.1,0.153,1
Dustin May,1,1,5,5,0,0,22,15,12,1,12,22,0,27.1,3.95,1.24,0.216,0
Anthony Banda,3,0,14,0,0,0,11,6,6,3,4,9,1,13.1,4.05,1.13,0.229,1
Tony Gonsolin,1,0,1,1,0,0,6,3,3,1,0,9,0,6,4.5,1,0.25,0