name,POS,BAT,THW,Age,HT,WT,Jersey
Anthony Banda,RP,L,L,31,6.2,221,43
Ben Casparius,RP,R,R,26,6.2,215,78
Jack Dreyer,RP,R,L,26,6.2,205,86
Luis Garcia,RP,R,R,38,6.2,240,57
Yoendrys Gomez,RP,R,R,25,6.3,212,94
Tony Gonsolin,SP,R,R,30,6.3,205,26
Dustin May,SP,R,R,27,6.6,180,85
Evan Phillips,RP,R,R,30,6.2,215,59
Roki Sasaki,SP,R,R,23,6.2,187,11
Tanner Scott,RP,R,L,30,6.0,235,66
Alex Vesia,RP,L,L,29,6.1,209,51
Yoshinobu Yamamoto,SP,R,R,26,5.10,176,18
Kirby Yates,RP,L,R,38,5.10,205,38
Austin Barnes,C,R,R,35,5.9,187,15
Will Smith,C,R,R,30,5.10,195,16
Mookie Betts,SS,R,R,32,5.10,180,50
Tommy Edman,2B,B,R,29,5.9,193,25
Freddie Freeman,1B,L,R,35,6.4,220,5
Enrique Hernandez,1B,R,R,33,5.10,195,8
Max Muncy,3B,L,R,34,5.10,215,13
Miguel Rojas,SS,R,R,36,5.11,188,72
Michael Conforto,LF,L,R,32,5.11,215,23
Teoscar Hernandez,RF,R,R,32,6.0,215,37
Andy Pages,CF,R,R,24,6.1,212,44
Chris Taylor,LF,R,R,34,6.0,196,3
Shohei Ohtani,DH,L,R,30,6.30,210,17